date,state,district,bio_age_5_17,bio_age_17_
2025-09-12,UTTAR PRADESH,LUCKNOW,949,475
2025-09-12,UTTAR PRADESH,MAHARAJGANJ,436,219
2025-09-12,UTTAR PRADESH,MAHOBA,301,108
2025-09-12,UTTAR PRADESH,MAINPURI,640,162
2025-09-12,UTTAR PRADESH,MATHURA,539,184
2025-09-12,UTTAR PRADESH,MAU,435,250
2025-09-12,UTTAR PRADESH,MEERUT,717,358
2025-09-12,UTTAR PRADESH,MIRZAPUR,602,177
2025-09-12,UTTAR PRADESH,MORADABAD,602,262
2025-09-12,UTTAR PRADESH,MUZAFFARNAGAR,928,255
2025-09-12,UTTAR PRADESH,PILIBHIT,1159,176
2025-09-12,UTTAR PRADESH,PRATAPGARH,713,281
2025-09-12,UTTAR PRADESH,PRAYAGRAJ,79,43
2025-09-12,UTTAR PRADESH,RAE BARELI,862,232
2025-09-12,UTTAR PRADESH,RAMPUR,616,179
2025-09-12,UTTAR PRADESH,SAHARANPUR,813,339
2025-09-12,UTTAR PRADESH,SAMBHAL,605,131
2025-09-12,UTTAR PRADESH,SANT KABIR NAGAR,419,158
2025-09-12,UTTAR PRADESH,SANT RAVIDAS NAGAR,543,143
2025-09-12,UTTAR PRADESH,SHAHJAHANPUR,890,162
2025-09-12,UTTAR PRADESH,SHAMLI,428,163
2025-09-12,UTTAR PRADESH,SHRAWASTI,238,79
2025-09-12,UTTAR PRADESH,SIDDHARTHNAGAR,454,195
2025-09-12,UTTAR PRADESH,SITAPUR,1724,302
2025-09-12,UTTAR PRADESH,SONBHADRA,577,161
2025-09-12,UTTAR PRADESH,SULTANPUR,630,219
2025-09-12,UTTAR PRADESH,UNNAO,690,283
2025-09-12,UTTAR PRADESH,VARANASI,778,430
2025-09-12,UTTARAKHAND,ALMORA,82,59
2025-09-12,UTTARAKHAND,BAGESHWAR,41,49
2025-09-12,UTTARAKHAND,CHAMOLI,137,50
2025-09-12,UTTARAKHAND,CHAMPAWAT,73,36
2025-09-12,UTTARAKHAND,DEHRADUN,617,440
2025-09-12,UTTARAKHAND,GARHWAL,1,4
2025-09-12,UTTARAKHAND,HARDWAR,0,7
2025-09-12,UTTARAKHAND,HARIDWAR,311,219
2025-09-12,UTTARAKHAND,NAINITAL,258,133
2025-09-12,UTTARAKHAND,PAURI GARHWAL,111,90
2025-09-12,UTTARAKHAND,PITHORAGARH,79,61
2025-09-12,UTTARAKHAND,RUDRAPRAYAG,44,58
2025-09-12,UTTARAKHAND,TEHRI GARHWAL,202,144
2025-09-12,UTTARAKHAND,UDHAM SINGH NAGAR,357,306
2025-09-12,UTTARAKHAND,UTTARKASHI,73,20
2025-09-12,WEST BANGAL,HOWRAH,0,1
2025-09-12,WEST BENGAL,ALIPURDUAR,24,16
2025-09-12,WEST BENGAL,BANKURA,453,382
2025-09-12,WEST BENGAL,BARDDHAMAN,454,605
2025-09-12,WEST BENGAL,BARDHAMAN,20,113
2025-09-12,WEST BENGAL,BIRBHUM,326,402
2025-09-12,WEST BENGAL,COOCH BEHAR,135,149
2025-09-12,WEST BENGAL,DAKSHIN DINAJPUR,149,163
2025-09-12,WEST BENGAL,DARJEELING,80,121
2025-09-12,WEST BENGAL,DARJILING,5,12
2025-09-12,WEST BENGAL,EAST MIDNAPORE,50,125
2025-09-12,WEST BENGAL,HAORA,42,129
2025-09-12,WEST BENGAL,HOOGHLY,416,543
2025-09-12,WEST BENGAL,HOWRAH,334,308
2025-09-12,WEST BENGAL,HUGLI,2,4
2025-09-12,WEST BENGAL,JALPAIGURI,232,313
2025-09-12,WEST BENGAL,JHARGRAM,26,20
2025-09-12,WEST BENGAL,KALIMPONG,7,2
2025-09-12,WEST BENGAL,KOCH BIHAR,25,74
2025-09-12,WEST BENGAL,KOLKATA,167,371
2025-09-12,WEST BENGAL,MALDA,233,388
2025-09-12,WEST BENGAL,MALDAH,32,77
2025-09-12,WEST BENGAL,MURSHIDABAD,495,777
2025-09-12,WEST BENGAL,NADIA,371,441
2025-09-12,WEST BENGAL,NORTH 24 PARGANAS,544,839
2025-09-12,WEST BENGAL,NORTH DINAJPUR,2,12
2025-09-12,WEST BENGAL,NORTH TWENTY FOUR PARGANAS,16,97
2025-09-12,WEST BENGAL,PASCHIM BARDHAMAN,29,26
2025-09-12,WEST BENGAL,PASCHIM MEDINIPUR,661,579
2025-09-12,WEST BENGAL,PURBA BARDHAMAN,40,35
2025-09-12,WEST BENGAL,PURBA MEDINIPUR,394,352
2025-09-12,WEST BENGAL,PURULIA,10,20
2025-09-12,WEST BENGAL,PURULIYA,328,398
2025-09-12,WEST BENGAL,SOUTH 24 PARGANAS,600,727
2025-09-12,WEST BENGAL,SOUTH DINAJPUR,6,23
2025-09-12,WEST BENGAL,SOUTH TWENTY FOUR PARGANAS,48,177
2025-09-12,WEST BENGAL,UTTAR DINAJPUR,274,497
2025-09-12,WEST BENGAL,WEST MEDINIPUR,0,1
2025-09-12,WEST BENGAL,WEST MIDNAPORE,34,126
2025-09-12,WESTBENGAL,HOOGHLY,0,2
2025-09-13,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,0,4
2025-09-13,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,4,1
2025-09-13,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,0,1
2025-09-13,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,10,3
2025-09-13,ANDHRA PRADESH,ADILABAD,43,281
2025-09-13,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,31,34
2025-09-13,ANDHRA PRADESH,ANAKAPALLI,2,9
2025-09-13,ANDHRA PRADESH,ANANTAPUR,24,65
2025-09-13,ANDHRA PRADESH,ANANTHAPUR,24,31
2025-09-13,ANDHRA PRADESH,ANANTHAPURAMU,34,23
2025-09-13,ANDHRA PRADESH,ANNAMAYYA,3,7
2025-09-13,ANDHRA PRADESH,BAPATLA,1,2
2025-09-13,ANDHRA PRADESH,CHITTOOR,86,115
2025-09-13,ANDHRA PRADESH,CUDDAPAH,93,63
2025-09-13,ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,6,5
2025-09-13,ANDHRA PRADESH,EAST GODAVARI,231,182
2025-09-13,ANDHRA PRADESH,ELURU,5,10
2025-09-13,ANDHRA PRADESH,GUNTUR,125,128
2025-09-13,ANDHRA PRADESH,HYDERABAD,124,384
2025-09-13,ANDHRA PRADESH,K.V. RANGAREDDY,1,3
2025-09-13,ANDHRA PRADESH,K.V.RANGAREDDY,1,9
2025-09-13,ANDHRA PRADESH,KAKINADA,14,7
2025-09-13,ANDHRA PRADESH,KARIM NAGAR,6,9
2025-09-13,ANDHRA PRADESH,KARIMNAGAR,10,65
2025-09-13,ANDHRA PRADESH,KHAMMAM,74,64
2025-09-13,ANDHRA PRADESH,KRISHNA,285,249
2025-09-13,ANDHRA PRADESH,KURNOOL,207,178
2025-09-13,ANDHRA PRADESH,MAHABUB NAGAR,2,73
2025-09-13,ANDHRA PRADESH,MAHABUBNAGAR,0,1
2025-09-13,ANDHRA PRADESH,MAHBUBNAGAR,9,37
2025-09-13,ANDHRA PRADESH,MEDAK,17,56
2025-09-13,ANDHRA PRADESH,N. T. R,11,20
2025-09-13,ANDHRA PRADESH,NALGONDA,19,91
2025-09-13,ANDHRA PRADESH,NANDYAL,5,7
2025-09-13,ANDHRA PRADESH,NELLORE,113,95
2025-09-13,ANDHRA PRADESH,NIZAMABAD,16,15
2025-09-13,ANDHRA PRADESH,PALNADU,6,1
2025-09-13,ANDHRA PRADESH,PARVATHIPURAM MANYAM,4,15
2025-09-13,ANDHRA PRADESH,PRAKASAM,123,69
2025-09-13,ANDHRA PRADESH,RANGAREDDI,75,176
2025-09-13,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,13,12
2025-09-13,ANDHRA PRADESH,SRI SATHYA SAI,4,7
2025-09-13,ANDHRA PRADESH,SRIKAKULAM,182,176
2025-09-13,ANDHRA PRADESH,TIRUPATI,8,4
2025-09-13,ANDHRA PRADESH,VISAKHAPATNAM,433,296
2025-09-13,ANDHRA PRADESH,VIZIANAGARAM,115,109
2025-09-13,ANDHRA PRADESH,WARANGAL,33,220
2025-09-13,ANDHRA PRADESH,WEST GODAVARI,229,241
2025-09-13,ANDHRA PRADESH,Y. S. R,8,4
2025-09-13,ARUNACHAL PRADESH,CHANGLANG,22,17
2025-09-13,ARUNACHAL PRADESH,EAST KAMENG,2,1
2025-09-13,ARUNACHAL PRADESH,EAST SIANG,2,2
2025-09-13,ARUNACHAL PRADESH,KAMLE,0,1
2025-09-13,ARUNACHAL PRADESH,KRA DAADI,1,0
2025-09-13,ARUNACHAL PRADESH,KURUNG KUMEY,0,1
2025-09-13,ARUNACHAL PRADESH,LONGDING,3,0
2025-09-13,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0,5
2025-09-13,ARUNACHAL PRADESH,LOWER SIANG,1,1
2025-09-13,ARUNACHAL PRADESH,LOWER SUBANSIRI,1,6
2025-09-13,ARUNACHAL PRADESH,NAMSAI,1,3
2025-09-13,ARUNACHAL PRADESH,PAPUM PARE,7,12
2025-09-13,ARUNACHAL PRADESH,SHI-YOMI,0,1
2025-09-13,ARUNACHAL PRADESH,UPPER SUBANSIRI,2,4
2025-09-13,ARUNACHAL PRADESH,WEST KAMENG,0,2
2025-09-13,ARUNACHAL PRADESH,WEST SIANG,11,3
2025-09-13,ASSAM,BAKSA,28,29
2025-09-13,ASSAM,BARPETA,422,103
2025-09-13,ASSAM,BISWANATH,34,7
2025-09-13,ASSAM,BONGAIGAON,49,18
2025-09-13,ASSAM,CACHAR,232,91
2025-09-13,ASSAM,CHARAIDEO,88,24
2025-09-13,ASSAM,CHIRANG,35,23
2025-09-13,ASSAM,DARRANG,150,37
2025-09-13,ASSAM,DHEMAJI,99,10
2025-09-13,ASSAM,DHUBRI,135,40
2025-09-13,ASSAM,DIBRUGARH,52,30
2025-09-13,ASSAM,GOALPARA,38,8
2025-09-13,ASSAM,GOLAGHAT,112,36
2025-09-13,ASSAM,HAILAKANDI,30,6
2025-09-13,ASSAM,HOJAI,88,52
2025-09-13,ASSAM,JORHAT,35,13
2025-09-13,ASSAM,KAMRUP,220,57
2025-09-13,ASSAM,KAMRUP METRO,79,36
2025-09-13,ASSAM,KARBI ANGLONG,79,50
2025-09-13,ASSAM,KARIMGANJ,101,29
2025-09-13,ASSAM,KOKRAJHAR,34,21
2025-09-13,ASSAM,LAKHIMPUR,104,39
2025-09-13,ASSAM,MAJULI,3,2
2025-09-13,ASSAM,MARIGAON,77,41
2025-09-13,ASSAM,NAGAON,156,193
2025-09-13,ASSAM,NALBARI,112,19
2025-09-13,ASSAM,NORTH CACHAR HILLS,32,8
2025-09-13,ASSAM,SIBSAGAR,41,10
2025-09-13,ASSAM,SONITPUR,97,31
2025-09-13,ASSAM,SOUTH SALMARA MANKACHAR,22,10
2025-09-13,ASSAM,SRIBHUMI,1,3
2025-09-13,ASSAM,TAMULPUR DISTRICT,2,0
2025-09-13,ASSAM,TINSUKIA,22,11
2025-09-13,ASSAM,UDALGURI,53,18
2025-09-13,ASSAM,WEST KARBI ANGLONG,16,31
2025-09-13,BIHAR,ARARIA,227,319
2025-09-13,BIHAR,ARWAL,23,58
2025-09-13,BIHAR,AURANGABAD,100,153
2025-09-13,BIHAR,AURANGABAD(BH),0,1
2025-09-13,BIHAR,BANKA,90,75
2025-09-13,BIHAR,BEGUSARAI,212,233
2025-09-13,BIHAR,BHABUA,0,1
2025-09-13,BIHAR,BHAGALPUR,162,189
2025-09-13,BIHAR,BHOJPUR,89,154
2025-09-13,BIHAR,BUXAR,70,86
2025-09-13,BIHAR,DARBHANGA,243,328
2025-09-13,BIHAR,EAST CHAMPARAN,322,450
2025-09-13,BIHAR,GAYA,205,299
2025-09-13,BIHAR,GOPALGANJ,98,145
2025-09-13,BIHAR,JAMUI,101,108
2025-09-13,BIHAR,JEHANABAD,41,63
2025-09-13,BIHAR,KAIMUR (BHABUA),116,152
2025-09-13,BIHAR,KATIHAR,425,750
2025-09-13,BIHAR,KHAGARIA,107,125
2025-09-13,BIHAR,KISHANGANJ,199,519
2025-09-13,BIHAR,LAKHISARAI,61,99
2025-09-13,BIHAR,MADHEPURA,134,212
2025-09-13,BIHAR,MADHUBANI,220,327
2025-09-13,BIHAR,MONGHYR,2,0
2025-09-13,BIHAR,MUNGER,62,53
2025-09-13,BIHAR,MUZAFFARPUR,219,359
2025-09-13,BIHAR,NALANDA,122,211
2025-09-13,BIHAR,NAWADA,109,171
2025-09-13,BIHAR,PASHCHIM CHAMPARAN,1,0
2025-09-13,BIHAR,PATNA,253,347
2025-09-13,BIHAR,PURBA CHAMPARAN,0,1
2025-09-13,BIHAR,PURNEA,5,19
2025-09-13,BIHAR,PURNIA,276,606
2025-09-13,BIHAR,ROHTAS,162,214
2025-09-13,BIHAR,SAHARSA,150,461
2025-09-13,BIHAR,SAMASTIPUR,208,297
2025-09-13,BIHAR,SAMSTIPUR,0,4
2025-09-13,BIHAR,SARAN,230,267
2025-09-13,BIHAR,SHEIKHPURA,132,96
2025-09-13,BIHAR,SHEOHAR,29,54
2025-09-13,BIHAR,SITAMARHI,267,317
2025-09-13,BIHAR,SIWAN,143,224
2025-09-13,BIHAR,SUPAUL,116,231
2025-09-13,BIHAR,VAISHALI,246,322
2025-09-13,BIHAR,WEST CHAMPARAN,171,277
2025-09-13,CHANDIGARH,CHANDIGARH,90,68
2025-09-13,CHHATTISGARH,BALOD,45,266
2025-09-13,CHHATTISGARH,BALODA BAZAR,149,320
2025-09-13,CHHATTISGARH,BALRAMPUR,62,194
2025-09-13,CHHATTISGARH,BASTAR,99,310
2025-09-13,CHHATTISGARH,BEMETARA,71,253
2025-09-13,CHHATTISGARH,BIJAPUR,24,47
2025-09-13,CHHATTISGARH,BILASPUR,174,505
2025-09-13,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,52,85
2025-09-13,CHHATTISGARH,DANTEWADA,24,60
2025-09-13,CHHATTISGARH,DHAMTARI,61,244
2025-09-13,CHHATTISGARH,DURG,174,293
2025-09-13,CHHATTISGARH,GARIYABAND,40,232
2025-09-13,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,0,3
2025-09-13,CHHATTISGARH,JANJGIR - CHAMPA,0,1
2025-09-13,CHHATTISGARH,JANJGIR-CHAMPA,202,476
2025-09-13,CHHATTISGARH,JASHPUR,55,124
2025-09-13,CHHATTISGARH,KABEERDHAM,27,54
2025-09-13,CHHATTISGARH,KANKER,54,115
2025-09-13,CHHATTISGARH,KAWARDHA,49,181
2025-09-13,CHHATTISGARH,KHAIRAGARH CHHUIKHADAN GANDAI,0,4
2025-09-13,CHHATTISGARH,KONDAGAON,23,115
2025-09-13,CHHATTISGARH,KORBA,306,344
2025-09-13,CHHATTISGARH,KORIYA,38,82
2025-09-13,CHHATTISGARH,MAHASAMUND,80,175
2025-09-13,CHHATTISGARH,MANENDRAGARH–CHIRMIRI–BHARATPUR,0,3
2025-09-13,CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,0,5
2025-09-13,CHHATTISGARH,MUNGELI,60,212
2025-09-13,CHHATTISGARH,NARAYANPUR,31,37
2025-09-13,CHHATTISGARH,RAIGARH,171,1553
2025-09-13,CHHATTISGARH,RAIPUR,152,572
2025-09-13,CHHATTISGARH,RAJNANDGAON,168,265
2025-09-13,CHHATTISGARH,SAKTI,0,9
2025-09-13,CHHATTISGARH,SARANGARH-BILAIGARH,1,14
2025-09-13,CHHATTISGARH,SUKMA,35,39
2025-09-13,CHHATTISGARH,SURAJPUR,192,119
2025-09-13,CHHATTISGARH,SURGUJA,104,209
2025-09-13,CHHATTISGARH,UTTAR BASTAR KANKER,21,85
2025-09-13,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,3,7
2025-09-13,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,143,90
2025-09-13,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,0,4
2025-09-13,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,1,0
2025-09-13,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,0,1
2025-09-13,DAMAN & DIU,DAMAN,4,5
2025-09-13,DAMAN & DIU,DIU,1,0
2025-09-13,DAMAN AND DIU,DAMAN,38,6
2025-09-13,DAMAN AND DIU,DIU,2,1
2025-09-13,DELHI,CENTRAL DELHI,106,58
2025-09-13,DELHI,EAST DELHI,276,169
2025-09-13,DELHI,NAJAFGARH,0,3
2025-09-13,DELHI,NEW DELHI,13,6
2025-09-13,DELHI,NORTH DELHI,186,156
2025-09-13,DELHI,NORTH EAST,5,95
2025-09-13,DELHI,NORTH EAST DELHI,313,175
2025-09-13,DELHI,NORTH WEST DELHI,663,484
2025-09-13,DELHI,SHAHDARA,4,7
2025-09-13,DELHI,SOUTH DELHI,584,403
2025-09-13,DELHI,SOUTH EAST DELHI,0,1
2025-09-13,DELHI,SOUTH WEST DELHI,450,274
2025-09-13,DELHI,WEST DELHI,403,313
2025-09-13,GOA,NORTH GOA,14,27
2025-09-13,GOA,SOUTH GOA,14,7
2025-09-13,GUJARAT,AHMADABAD,10,114
2025-09-13,GUJARAT,AHMEDABAD,774,936
2025-09-13,GUJARAT,AMRELI,69,56
2025-09-13,GUJARAT,ANAND,114,161
2025-09-13,GUJARAT,ARVALLI,62,23
2025-09-13,GUJARAT,BANAS KANTHA,1,2
2025-09-13,GUJARAT,BANASKANTHA,262,193
2025-09-13,GUJARAT,BHARUCH,89,58
2025-09-13,GUJARAT,BHAVNAGAR,147,141
2025-09-13,GUJARAT,BOTAD,11,11
2025-09-13,GUJARAT,CHHOTAUDEPUR,41,24
2025-09-13,GUJARAT,DAHOD,157,153
2025-09-13,GUJARAT,DEVBHUMI DWARKA,13,10
2025-09-13,GUJARAT,DOHAD,5,48
2025-09-13,GUJARAT,GANDHINAGAR,58,55
2025-09-13,GUJARAT,GIR SOMNATH,41,24
2025-09-13,GUJARAT,JAMNAGAR,40,45
2025-09-13,GUJARAT,JUNAGADH,40,80
2025-09-13,GUJARAT,KACHCHH,63,87
2025-09-13,GUJARAT,KHEDA,74,114
2025-09-13,GUJARAT,MAHESANA,93,138
2025-09-13,GUJARAT,MAHISAGAR,33,23
2025-09-13,GUJARAT,MORBI,31,16
2025-09-13,GUJARAT,NARMADA,26,43
2025-09-13,GUJARAT,NAVSARI,64,21
2025-09-13,GUJARAT,PANCH MAHALS,0,1
2025-09-13,GUJARAT,PANCHMAHALS,151,152
2025-09-13,GUJARAT,PATAN,70,113
2025-09-13,GUJARAT,PORBANDAR,13,12
2025-09-13,GUJARAT,RAJKOT,167,163
2025-09-13,GUJARAT,SABAR KANTHA,0,3
2025-09-13,GUJARAT,SABARKANTHA,121,101
2025-09-13,GUJARAT,SURAT,399,368
2025-09-13,GUJARAT,SURENDRA NAGAR,84,108
2025-09-13,GUJARAT,SURENDRANAGAR,1,2
2025-09-13,GUJARAT,TAPI,38,49
2025-09-13,GUJARAT,THE DANGS,11,23
2025-09-13,GUJARAT,VADODARA,244,351
2025-09-13,GUJARAT,VALSAD,112,77
2025-09-13,HARYANA,AMBALA,81,89
2025-09-13,HARYANA,BHIWANI,122,90
2025-09-13,HARYANA,CHARKHI DADRI,4,6
2025-09-13,HARYANA,FARIDABAD,197,111
2025-09-13,HARYANA,FATEHABAD,67,83
2025-09-13,HARYANA,GURGAON,95,81
2025-09-13,HARYANA,HISAR,147,98
2025-09-13,HARYANA,JHAJJAR,120,52
2025-09-13,HARYANA,JIND,146,137
2025-09-13,HARYANA,KAITHAL,111,63
2025-09-13,HARYANA,KARNAL,177,177
2025-09-13,HARYANA,KURUKSHETRA,99,106
2025-09-13,HARYANA,MAHENDRAGARH,98,71
2025-09-13,HARYANA,MEWAT,157,92
2025-09-13,HARYANA,PALWAL,134,113
2025-09-13,HARYANA,PANCHKULA,19,17
2025-09-13,HARYANA,PANIPAT,143,159
2025-09-13,HARYANA,REWARI,238,83
2025-09-13,HARYANA,ROHTAK,69,68
2025-09-13,HARYANA,SIRSA,204,156
2025-09-13,HARYANA,SONIPAT,142,107
2025-09-13,HARYANA,YAMUNA NAGAR,104,104
2025-09-13,HIMACHAL PRADESH,BILASPUR,24,20
2025-09-13,HIMACHAL PRADESH,CHAMBA,15,32
2025-09-13,HIMACHAL PRADESH,HAMIRPUR,53,16
2025-09-13,HIMACHAL PRADESH,KANGRA,156,83
2025-09-13,HIMACHAL PRADESH,KINNAUR,3,1
2025-09-13,HIMACHAL PRADESH,KULLU,13,17
2025-09-13,HIMACHAL PRADESH,LAHUL AND SPITI,0,1
2025-09-13,HIMACHAL PRADESH,MANDI,32,33
2025-09-13,HIMACHAL PRADESH,SHIMLA,42,47
2025-09-13,HIMACHAL PRADESH,SIRMAUR,37,37
2025-09-13,HIMACHAL PRADESH,SOLAN,23,17
2025-09-13,HIMACHAL PRADESH,UNA,75,55
2025-09-13,JAMMU & KASHMIR,JAMMU,0,4
2025-09-13,JAMMU & KASHMIR,UDHAMPUR,0,1
2025-09-13,JAMMU AND KASHMIR,ANANTNAG,81,81
2025-09-13,JAMMU AND KASHMIR,BADGAM,21,35
2025-09-13,JAMMU AND KASHMIR,BANDIPORE,30,35
2025-09-13,JAMMU AND KASHMIR,BARAMULA,147,126
2025-09-13,JAMMU AND KASHMIR,BUDGAM,69,12
2025-09-13,JAMMU AND KASHMIR,DODA,7,20
2025-09-13,JAMMU AND KASHMIR,GANDERBAL,22,17
2025-09-13,JAMMU AND KASHMIR,JAMMU,247,272
2025-09-13,JAMMU AND KASHMIR,KARGIL,65,10
2025-09-13,JAMMU AND KASHMIR,KATHUA,77,86
2025-09-13,JAMMU AND KASHMIR,KISHTWAR,35,23
2025-09-13,JAMMU AND KASHMIR,KULGAM,50,27
2025-09-13,JAMMU AND KASHMIR,KUPWARA,70,74
2025-09-13,JAMMU AND KASHMIR,LEH,37,5
2025-09-13,JAMMU AND KASHMIR,PULWAMA,28,53
2025-09-13,JAMMU AND KASHMIR,PUNCH,65,56
2025-09-13,JAMMU AND KASHMIR,RAJOURI,113,97
2025-09-13,JAMMU AND KASHMIR,RAMBAN,54,20
2025-09-13,JAMMU AND KASHMIR,REASI,56,25
2025-09-13,JAMMU AND KASHMIR,SAMBA,30,15
2025-09-13,JAMMU AND KASHMIR,SHUPIYAN,89,23
2025-09-13,JAMMU AND KASHMIR,SRINAGAR,157,208
2025-09-13,JAMMU AND KASHMIR,UDHAMPUR,72,61
2025-09-13,JHARKHAND,BOKARO,172,153
2025-09-13,JHARKHAND,CHATRA,335,187
2025-09-13,JHARKHAND,DEOGHAR,104,76
2025-09-13,JHARKHAND,DHANBAD,208,306
2025-09-13,JHARKHAND,DUMKA,70,151
2025-09-13,JHARKHAND,EAST SINGHBHUM,188,274
2025-09-13,JHARKHAND,GARHWA,172,266
2025-09-13,JHARKHAND,GARHWA *,4,27
2025-09-13,JHARKHAND,GIRIDIH,148,167
2025-09-13,JHARKHAND,GODDA,86,62
2025-09-13,JHARKHAND,GUMLA,121,223
2025-09-13,JHARKHAND,HAZARIBAG,6,14
2025-09-13,JHARKHAND,HAZARIBAGH,116,137
2025-09-13,JHARKHAND,JAMTARA,79,111
2025-09-13,JHARKHAND,KHUNTI,74,114
2025-09-13,JHARKHAND,KODARMA,3,15
2025-09-13,JHARKHAND,KODERMA,54,73
2025-09-13,JHARKHAND,LATEHAR,132,92
2025-09-13,JHARKHAND,LOHARDAGA,72,105
2025-09-13,JHARKHAND,PAKAUR,5,4
2025-09-13,JHARKHAND,PAKUR,85,58
2025-09-13,JHARKHAND,PALAMAU,1,4
2025-09-13,JHARKHAND,PALAMU,243,161
2025-09-13,JHARKHAND,PASHCHIMI SINGHBHUM,14,45
2025-09-13,JHARKHAND,PURBI SINGHBHUM,9,55
2025-09-13,JHARKHAND,RAMGARH,97,66
2025-09-13,JHARKHAND,RANCHI,299,455
2025-09-13,JHARKHAND,SAHEBGANJ,145,165
2025-09-13,JHARKHAND,SAHIBGANJ,3,2
2025-09-13,JHARKHAND,SERAIKELA-KHARSAWAN,70,186
2025-09-13,JHARKHAND,SIMDEGA,49,183
2025-09-13,JHARKHAND,WEST SINGHBHUM,267,335
2025-09-13,KARNATAKA,BAGALKOT,86,86
2025-09-13,KARNATAKA,BAGALKOT *,2,5
2025-09-13,KARNATAKA,BALLARI,52,18
2025-09-13,KARNATAKA,BANGALORE,269,577
2025-09-13,KARNATAKA,BANGALORE RURAL,38,39
2025-09-13,KARNATAKA,BELAGAVI,154,80
2025-09-13,KARNATAKA,BELGAUM,85,181
2025-09-13,KARNATAKA,BELLARY,48,84
2025-09-13,KARNATAKA,BENGALURU,914,716
2025-09-13,KARNATAKA,BENGALURU SOUTH,0,1
2025-09-13,KARNATAKA,BIDAR,129,108
2025-09-13,KARNATAKA,BIJAPUR,56,97
2025-09-13,KARNATAKA,CHAMARAJANAGAR,2,2
2025-09-13,KARNATAKA,CHAMRAJANAGAR,60,17
2025-09-13,KARNATAKA,CHAMRAJNAGAR,3,4
2025-09-13,KARNATAKA,CHICKMAGALUR,13,37
2025-09-13,KARNATAKA,CHIKKABALLAPUR,70,78
2025-09-13,KARNATAKA,CHIKKAMAGALURU,17,29
2025-09-13,KARNATAKA,CHIKMAGALUR,1,4
2025-09-13,KARNATAKA,CHITRADURGA,42,64
2025-09-13,KARNATAKA,DAKSHINA KANNADA,106,135
2025-09-13,KARNATAKA,DAVANAGERE,0,20
2025-09-13,KARNATAKA,DAVANGERE,127,120
2025-09-13,KARNATAKA,DHARWAD,144,148
2025-09-13,KARNATAKA,GADAG,59,47
2025-09-13,KARNATAKA,GADAG *,1,6
2025-09-13,KARNATAKA,GULBARGA,39,72
2025-09-13,KARNATAKA,HASAN,4,17
2025-09-13,KARNATAKA,HASSAN,45,55
2025-09-13,KARNATAKA,HAVERI,96,104
2025-09-13,KARNATAKA,KALABURAGI,107,43
2025-09-13,KARNATAKA,KODAGU,4,13
2025-09-13,KARNATAKA,KOLAR,84,89
2025-09-13,KARNATAKA,KOPPAL,36,58
2025-09-13,KARNATAKA,MANDYA,45,64
2025-09-13,KARNATAKA,MYSORE,47,139
2025-09-13,KARNATAKA,MYSURU,124,81
2025-09-13,KARNATAKA,RAICHUR,96,105
2025-09-13,KARNATAKA,RAMANAGAR,45,50
2025-09-13,KARNATAKA,SHIMOGA,26,78
2025-09-13,KARNATAKA,SHIVAMOGGA,95,38
2025-09-13,KARNATAKA,TUMAKURU,86,34
2025-09-13,KARNATAKA,TUMKUR,45,106
2025-09-13,KARNATAKA,UDUPI,25,27
2025-09-13,KARNATAKA,UTTARA KANNADA,28,60
2025-09-13,KARNATAKA,VIJAYANAGARA,12,41
2025-09-13,KARNATAKA,VIJAYAPURA,96,46
2025-09-13,KARNATAKA,YADGIR,48,38
2025-09-13,KERALA,ALAPPUZHA,206,181
2025-09-13,KERALA,ERNAKULAM,420,310
2025-09-13,KERALA,IDUKKI,161,83
2025-09-13,KERALA,KANNUR,422,318
2025-09-13,KERALA,KASARAGOD,223,138
2025-09-13,KERALA,KASARGOD,2,17
2025-09-13,KERALA,KOLLAM,333,313
2025-09-13,KERALA,KOTTAYAM,212,171
2025-09-13,KERALA,KOZHIKODE,411,364
2025-09-13,KERALA,MALAPPURAM,673,461
2025-09-13,KERALA,PALAKKAD,355,299
2025-09-13,KERALA,PATHANAMTHITTA,181,117
2025-09-13,KERALA,THIRUVANANTHAPURAM,327,415
2025-09-13,KERALA,THRISSUR,523,444
2025-09-13,KERALA,WAYANAD,86,85
2025-09-13,LADAKH,KARGIL,50,4
2025-09-13,LADAKH,LEH,30,7
